Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Service NSW Object/a_Apply for a number plate""))",Chrome 89.0.4389.90,,,2021-03-27 17:50:30,2021-03-27 17:50:34,4.108s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/a_Find locations""))",Chrome 89.0.4389.90,,,2021-03-27 17:50:34,2021-03-27 17:50:37,2.970s,PASSED
"setText(findTestObject(""Object Repository/Service NSW Object/input_Search by suburb, postcode or current_d530bf""), suburb)",Chrome 89.0.4389.90,,,2021-03-27 17:50:37,2021-03-27 17:50:41,3.716s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Sydney South 2000_button button--pri_c5c898""))",Chrome 89.0.4389.90,,,2021-03-27 17:50:41,2021-03-27 17:50:41,0.626s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Service Centres""))",Chrome 89.0.4389.90,,,2021-03-27 17:50:41,2021-03-27 17:50:43,2.283s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 17:50:44,2021-03-27 17:51:30,46.578s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 17:50:44,2021-03-27 17:50:46,2.640s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 17:50:46,2021-03-27 17:50:46,0.202s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 17:50:46,2021-03-27 17:50:55,8.435s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 17:50:55,2021-03-27 17:50:56,1.127s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 17:50:56,2021-03-27 17:50:58,1.714s,PASSED
"click(findTestObject(""Service NSW Object/button_apply for a number plate_button button--primary""))",Chrome 89.0.4389.90,,,2021-03-27 17:50:58,2021-03-27 17:51:04,6.651s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_87 results found""), 0)",Chrome 89.0.4389.90,,,2021-03-27 17:51:04,2021-03-27 17:51:05,0.644s,PASSED
"click(findTestObject(""Service NSW Object/a_Apply for a number plate""))",Chrome 89.0.4389.90,,,2021-03-27 17:51:05,2021-03-27 17:51:11,6.450s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/a_Find locations""))",Chrome 89.0.4389.90,,,2021-03-27 17:51:11,2021-03-27 17:51:16,4.946s,PASSED
"setText(findTestObject(""Object Repository/Service NSW Object/input_Search by suburb, postcode or current_d530bf""), suburb)",Chrome 89.0.4389.90,,,2021-03-27 17:51:16,2021-03-27 17:51:25,9.051s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Sydney South 2000_button button--pri_c5c898""))",Chrome 89.0.4389.90,,,2021-03-27 17:51:25,2021-03-27 17:51:29,3.298s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Service Centres""))",Chrome 89.0.4389.90,,,2021-03-27 17:51:29,2021-03-27 17:51:30,1.364s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 17:51:30,2021-03-27 17:52:36,1m - 6.282s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 17:51:30,2021-03-27 17:51:33,2.614s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 17:51:33,2021-03-27 17:51:33,0.211s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 17:51:33,2021-03-27 17:51:40,6.933s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 17:51:40,2021-03-27 17:51:41,1.204s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 17:51:41,2021-03-27 17:51:43,1.485s,PASSED
"click(findTestObject(""Service NSW Object/button_apply for a number plate_button button--primary""))",Chrome 89.0.4389.90,,,2021-03-27 17:51:43,2021-03-27 17:51:47,4.190s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_87 results found""), 0)",Chrome 89.0.4389.90,,,2021-03-27 17:51:47,2021-03-27 17:51:48,0.936s,PASSED
"click(findTestObject(""Service NSW Object/a_Apply for a number plate""))",Chrome 89.0.4389.90,,,2021-03-27 17:51:48,2021-03-27 17:51:57,9.014s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/a_Find locations""))",Chrome 89.0.4389.90,,,2021-03-27 17:51:57,2021-03-27 17:52:29,32.013s,PASSED
"setText(findTestObject(""Object Repository/Service NSW Object/input_Search by suburb, postcode or current_d530bf""), suburb)",Chrome 89.0.4389.90,,,2021-03-27 17:52:29,2021-03-27 17:52:33,4.122s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Sydney South 2000_button button--pri_c5c898""))",Chrome 89.0.4389.90,,,2021-03-27 17:52:33,2021-03-27 17:52:33,0.559s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Service Centres""))",Chrome 89.0.4389.90,,,2021-03-27 17:52:33,2021-03-27 17:52:36,2.985s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 17:52:36,2021-03-27 17:53:01,24.140s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 17:52:37,2021-03-27 17:52:40,3.376s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 17:52:40,2021-03-27 17:52:40,0.217s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 17:52:40,2021-03-27 17:52:43,2.880s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 17:52:43,2021-03-27 17:52:44,1.031s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 17:52:44,2021-03-27 17:52:46,1.582s,PASSED
"click(findTestObject(""Service NSW Object/button_apply for a number plate_button button--primary""))",Chrome 89.0.4389.90,,,2021-03-27 17:52:46,2021-03-27 17:52:48,2.721s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_87 results found""), 0)",Chrome 89.0.4389.90,,,2021-03-27 17:52:48,2021-03-27 17:52:49,0.751s,PASSED
"click(findTestObject(""Service NSW Object/a_Apply for a number plate""))",Chrome 89.0.4389.90,,,2021-03-27 17:52:49,2021-03-27 17:52:53,3.407s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/a_Find locations""))",Chrome 89.0.4389.90,,,2021-03-27 17:52:53,2021-03-27 17:52:55,2.050s,PASSED
"setText(findTestObject(""Object Repository/Service NSW Object/input_Search by suburb, postcode or current_d530bf""), suburb)",Chrome 89.0.4389.90,,,2021-03-27 17:52:55,2021-03-27 17:52:58,3.315s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Sydney South 2000_button button--pri_c5c898""))",Chrome 89.0.4389.90,,,2021-03-27 17:52:58,2021-03-27 17:52:59,0.717s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Service Centres""))",Chrome 89.0.4389.90,,,2021-03-27 17:52:59,2021-03-27 17:53:01,2.040s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 17:53:01,2021-03-27 17:53:28,27.277s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 17:53:01,2021-03-27 17:53:04,2.867s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 17:53:04,2021-03-27 17:53:04,0.177s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 17:53:04,2021-03-27 17:53:08,4.490s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 17:53:08,2021-03-27 17:53:09,1.184s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 17:53:09,2021-03-27 17:53:12,2.187s,PASSED
"click(findTestObject(""Service NSW Object/button_apply for a number plate_button button--primary""))",Chrome 89.0.4389.90,,,2021-03-27 17:53:12,2021-03-27 17:53:15,3.588s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_87 results found""), 0)",Chrome 89.0.4389.90,,,2021-03-27 17:53:15,2021-03-27 17:53:16,0.525s,PASSED
"click(findTestObject(""Service NSW Object/a_Apply for a number plate""))",Chrome 89.0.4389.90,,,2021-03-27 17:53:16,2021-03-27 17:53:19,3.210s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/a_Find locations""))",Chrome 89.0.4389.90,,,2021-03-27 17:53:19,2021-03-27 17:53:21,1.998s,PASSED
"setText(findTestObject(""Object Repository/Service NSW Object/input_Search by suburb, postcode or current_d530bf""), suburb)",Chrome 89.0.4389.90,,,2021-03-27 17:53:21,2021-03-27 17:53:24,2.717s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Sydney South 2000_button button--pri_c5c898""))",Chrome 89.0.4389.90,,,2021-03-27 17:53:24,2021-03-27 17:53:26,2.393s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Service Centres""))",Chrome 89.0.4389.90,,,2021-03-27 17:53:26,2021-03-27 17:53:28,1.889s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 17:53:28,2021-03-27 17:54:20,52.182s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 17:53:28,2021-03-27 17:53:31,2.767s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 17:53:31,2021-03-27 17:53:31,0.159s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 17:53:31,2021-03-27 17:53:38,6.485s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 17:53:38,2021-03-27 17:53:39,1.240s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 17:53:39,2021-03-27 17:53:40,1.611s,PASSED
"click(findTestObject(""Service NSW Object/button_apply for a number plate_button button--primary""))",Chrome 89.0.4389.90,,,2021-03-27 17:53:40,2021-03-27 17:53:52,11.968s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_87 results found""), 0)",Chrome 89.0.4389.90,,,2021-03-27 17:53:52,2021-03-27 17:53:53,1.005s,PASSED
"click(findTestObject(""Service NSW Object/a_Apply for a number plate""))",Chrome 89.0.4389.90,,,2021-03-27 17:53:53,2021-03-27 17:54:02,8.229s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/a_Find locations""))",Chrome 89.0.4389.90,,,2021-03-27 17:54:02,2021-03-27 17:54:07,5.173s,PASSED
"setText(findTestObject(""Object Repository/Service NSW Object/input_Search by suburb, postcode or current_d530bf""), suburb)",Chrome 89.0.4389.90,,,2021-03-27 17:54:07,2021-03-27 17:54:17,9.943s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Sydney South 2000_button button--pri_c5c898""))",Chrome 89.0.4389.90,,,2021-03-27 17:54:17,2021-03-27 17:54:19,2.191s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Service Centres""))",Chrome 89.0.4389.90,,,2021-03-27 17:54:19,2021-03-27 17:54:20,1.350s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 17:54:20,2021-03-27 17:54:52,31.781s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 17:54:20,2021-03-27 17:54:23,2.604s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 17:54:23,2021-03-27 17:54:23,0.168s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 17:54:23,2021-03-27 17:54:31,8.428s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 17:54:31,2021-03-27 17:54:33,1.278s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 17:54:33,2021-03-27 17:54:35,1.745s,PASSED
"click(findTestObject(""Service NSW Object/button_apply for a number plate_button button--primary""))",Chrome 89.0.4389.90,,,2021-03-27 17:54:35,2021-03-27 17:54:38,3.768s,PASSED
